text,offline_crime,online_crime,drugs,gambling,pornography,prostitution,slavery,suicide,terrorism,weapons,body_shaming,health_shaming,politics,racism,religion,sexual_minorities,sexism,social_injustice
"Нееет, родаки обязаны родив личинку дать ей образование, жилье и денег на всю жизнь что бы ребенок вырос и сам решил работать ему или делать чтото другое. Если пидорасня быдланская этого сделать не может то нечего и рожать.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,1.0,1.0,1.0
баба в мусульманских странах она не имеет права перечить мужчине и если она изменит мужу то ее разрешено убить,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
"Группа в основном толстая, хотя фотки настоящие. Но текст почти везде зеленый.Ну а дикая любовь наташ к кавказцам/маджикам/туркам/неграм и всей прочей публике известна всему свету. Как и куколдский образ жизни русачков.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
"Учи японский и едь в Японию там у них характер ""женщина-служанка- домохозяйка"" эталон красоты",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.0,1.0,1.0
"но ведь в сборнике анекдотов конституции рахи самка стоит даже выше человека, т.к. обладает ""женскими правами"" и не обязана сдаваться на год в рабство. При этом личинок делать тоже не обязана.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
"Титаны женского рода держут кошек и в монастыре тесто месят, а нынешние фемени не за равноправие, они исповедуют самый натуральный нацизм за проводимый по отношению к женщинам принцип, что она не человек.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
"Если последнее врмя бабьё так верещит о равноправии, то его надо и как и мужчин в армию призывать?",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
"А зачем Богиням работа? Работа для рабов, элитка имеет пассивный доход и живёт в своё удовольствие.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,1.0,1.0
и?ваще нихрена не понялзамуж выходи рожай детейпусть муж обеспечиваетпотому раньше и хранили целомудрие до брака и мужа слушалисьчтобы вот так не мыкатьсяКак говорится за что боролисьравноправие плин Сильно оно,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,1.0,1.0
Почему так получается для местных девушек страшный для иностранок наоборот ?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Гадкие бабы ищут каблуков, ужас, плохо все вокруг",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Считает брак рабством, так как не может мыслить по другому, но даже если рассуждать твоими категориями, если есть раб, то есть и рабовладелец, что тебе мешает стать вторым? А точно - ты просто раб по жизни.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
idтак она не шлюха.видно что нищенка    и при этом ребенок есть нахуя травить ???,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Конечно бомбит, ведь вы лошки набиваете цену пизде и ставите себя ниже тян, в итоге страдают все.Ок, я ""лошок"" способен купить шлюху, но кто тогда ты, если ты неспособен купить шлюху, по цене которую установил я?",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Вот скажите, долбоёбы, донатившие таким вот шлюхам с ютуба - вам самим-то не стыдно? Это же пиздец какой-то, лол. Мне кажется, стримерша - по определению шлюха по натуре и вниманиеблядина. Такую категорию за бабки легче всего купить",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Любая феминистка поддерживает право женщин распоряжаться своим телом, уходи хуемразь.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Если женщин за людей не считаешь, то половой акт в извращённой форме с этими суками воспринимаешь как групповое изнасилование бомжа-алкоголика например.",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
