topic,text,inappropriate
sexual_minorities,"У меня есть друзья-пидоры, нормальные вроде ребята. ",0
sexual_minorities,"В Израиле вот постоянно гей-парады устраивают, а у нас бы за такое жестоко покарали. ",0
sexual_minorities,"Много ли девушек, которым совсем незнаком лесбийский секс?",0
sexual_minorities,"В Британии лечили геев химической кастрацией, и правильно делали!",1
sexual_minorities,"Если мужчина возляжет с мужчиной как с женщиной, обоих надо забить камнями. По-моему, правильно. ",1
sexual_minorities,"Вы видели эту Кончиту? Смотреть противно, как и на всех этих трансов. ",1
racism,"Негр - нормальное русское слово, а Нигер - вообще страна в африке. ",0
racism,"Те, кого ты называешь чурками и хачами, имели цивилизацию намного раньше нашей. ",0
racism,"Обитают там узбеки, таджики, чучмеки, и прочие недоразвитые народности. ",1
racism,"Чёрные люди всё-таки ближе к обезьяне, переходный вид, можно сказать. ",1
health_shaming,В России десятки тысяч людей с синдромом Дауна,0
health_shaming,Результат - венерические заболевания продолжают распространяться,0
health_shaming,"Ты чего сидишь там тупишь, даун что ли?",1
health_shaming,"Не понимаю, почему не разрешают эвтаназию для инвалидов, всё ж лучше, чем жить и мучаться",1
body_shaming,"Мне кажется, что украинские девушки симпатичнее русских, но это моё личное мнение. ",0
body_shaming,"А то, что у нас половина города ходит в каком-то тряпье и лохмотьях - это разве нормально?",0
body_shaming,"Надел себе на голову какой-то кандибобер, таким только людей пугать. ",1
body_shaming,"Эй, а ты симпатичная, я бы вдул",1
sexism,"Женщины обычно живут дольше, чем мужчины",0
sexism,"Мужики почти все ушли на войну, а бабы остались смотреть за хозяйством. ",0
sexism,"Он, как любой мужик, постоянно хочет",1
sexism,"Все женщины должны рожать детей, в чём иначе их биологическая функция?",1
politcs,"Война в Сирии всё никак не заканчивается, мы уже почти 10 лет в ней участвуем",0
politcs,В Вашингтоне сторонники Дональда Трампа устроили штурм Белого дома,0
politcs,"Если что, мы можем повторить, как в 45 - и мне кажется, давно пора",1
politcs,"А вы, что, тоже за бункерного деда голосовали?",1
religion,"А вам-то какое дело, что я не верю ни в Аллаха, ни в Иисуса?",0
religion,Студенты МГУ подписывают петицию против строительства православного храма на территории,0
religion,"Я против того, чтобы допускать мусульман до управления республикой",1
religion,Снова они своё православие головного мозга включают,1
social_injustice,Миллионы людей находятся за чертой бедности,0
social_injustice,"Касается это в равной степени как олигархов, так и бомжей",0
social_injustice,"Если ты зарабатываешь меньше сотни, ты объективно неудачник",1
social_injustice,"Понанимали всяких птушников, теперь удивляются, почему на проект никто не идёт",1
drugs,"Тот же метамфетамин достаточно опасен, вызывая психологическую зависимость с риском смерти от передоза. ",0
drugs,"Он бухает каждую неделю, и здоровее от этого не становится. ",0
drugs,"Так-то трава весьма безопасная, если не каждый день её употреблять. ",1
